[INIT].... → Crawl4AI 0.9.2 
[SCRAPE].. ◆ https://mmc-steel.ru/news/?tag=НМЗ                                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://mmc-steel.ru/news/?tag=НМЗ                                                                   | ✓ | ⏱: 4.95s 
[FETCH]... ↓ https://mmc-steel.ru/news/?tag=Метал-Экспо                                                           | ✓ | ⏱: 5.29s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/?tag=Метал-Экспо                                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://mmc-steel.ru/news/?tag=Метал-Экспо                                                           | ✓ | ⏱: 5.31s 
[FETCH]... ↓ https://mmc-steel.ru/news/?tag=2022                                                                  | ✓ | ⏱: 1.52s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/?tag=2022                                                                  | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://mmc-steel.ru/news/?tag=2022                                                                  | ✓ | ⏱: 1.56s 
Rotated text discovered. Output will be incomplete.
Rotated text discovered. Output will be incomplete.
Rotated text discovered. Output will be incomplete.
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/company-5fb4322d34-3822dfd79517.json
